Skills,Experience_Level,Description,Budget_Project
"Translation & Languages: danish to english translation, swahili, italian to english translation, turkish to english translation; General: agile, api",Intermediate,"Intermediate Translation & Languages professional with experience in danish to english translation, swahili, italian to english translation, turkish to english translation.",$1499-$1915
"Translation & Languages: english to german translation, norwegian to english translation, english to danish translation, english to romanian translation; General: sql",Entry Level,"Entry Level Translation & Languages professional with experience in english to german translation, norwegian to english translation, english to danish translation, english to romanian translation.",$217-$926
"Graphic & Visual Design: branding, adobe indesign, digital illustration; General: git",Expert,"Expert Graphic & Visual Design professional with experience in branding, adobe indesign, digital illustration.",$1641-$6317
"Writing & Content Creation: content audit, academic writing, social media content; General: ",Expert,"Expert Writing & Content Creation professional with experience in content audit, academic writing, social media content.",$4650-$7736
"Marketing & SEO: tiktok marketing, seo strategy, facebook advertising, instagram marketing; General: project management, api",Intermediate,"Intermediate Marketing & SEO professional with experience in tiktok marketing, seo strategy, facebook advertising, instagram marketing.",$828-$2503
"UI/UX Design: mobile ui design, adobe xd; General: project management",Expert,"Expert UI/UX Design professional with experience in mobile ui design, adobe xd.",$2933-$9546
"Translation & Languages: english to bulgarian translation, indonesian to english translation, hindi; General: ",Expert,"Expert Translation & Languages professional with experience in english to bulgarian translation, indonesian to english translation, hindi.",$4984-$9664
"UI/UX Design: mobile ui design, adobe xd, figma; General: git",Expert,"Expert UI/UX Design professional with experience in mobile ui design, adobe xd, figma.",$1515-$6451
"Data Science: big data, pandas; General: sql",Intermediate,"Intermediate Data Science professional with experience in big data, pandas.",$1299-$1736
"Translation & Languages: hindi, korean to english translation, turkish; General: ",Intermediate,"Intermediate Translation & Languages professional with experience in hindi, korean to english translation, turkish.",$1290-$2380
"Web Development: interactive design, web service, virtual reality; General: project management",Intermediate,"Intermediate Web Development professional with experience in interactive design, web service, virtual reality.",$898-$2918
"Graphic & Visual Design: adobe after effects, logo design, digital illustration, adobe dreamweaver; General: git",Entry Level,"Entry Level Graphic & Visual Design professional with experience in adobe after effects, logo design, digital illustration, adobe dreamweaver.",$58-$947
"Writing & Content Creation: speech writing, product documentation, technical writing, blog content; General: sql, project management",Expert,"Expert Writing & Content Creation professional with experience in speech writing, product documentation, technical writing, blog content.",$3723-$8179
"Marketing & SEO: social media optimization, twitter marketing, conversion rate optimization; General: git",Entry Level,"Entry Level Marketing & SEO professional with experience in social media optimization, twitter marketing, conversion rate optimization.",$318-$645
"Project Management: kanban methodology, project scheduling, project management office, requirements specification; General: ",Entry Level,"Entry Level Project Management professional with experience in kanban methodology, project scheduling, project management office, requirements specification.",$473-$868
"Mobile Development: hybrid app development, mobile app redesign; General: ",Expert,"Expert Mobile Development professional with experience in hybrid app development, mobile app redesign.",$1716-$9831
"DevOps: azure blockchain service, aws cloudformation, ansible; General: ",Entry Level,"Entry Level DevOps professional with experience in azure blockchain service, aws cloudformation, ansible.",$168-$967
"Cybersecurity: network security, cybersecurity management; General: ",Entry Level,"Entry Level Cybersecurity professional with experience in network security, cybersecurity management.",$417-$791
"Project Management: project portfolio management, change management; General: ",Intermediate,"Intermediate Project Management professional with experience in project portfolio management, change management.",$1492-$1601
"Business & Consulting: organizational behavior, business plan, organizational development, business valuation; General: ",Expert,"Expert Business & Consulting professional with experience in organizational behavior, business plan, organizational development, business valuation.",$3317-$9564
"Graphic & Visual Design: 3d animation, adobe after effects, digital design, motion graphics; General: sql",Intermediate,"Intermediate Graphic & Visual Design professional with experience in 3d animation, adobe after effects, digital design, motion graphics.",$1467-$2749
"Project Management: requirements specification, project management office, project management, project timelines; General: ",Intermediate,"Intermediate Project Management professional with experience in requirements specification, project management office, project management, project timelines.",$1454-$2350
"Database Management: postgresql, database development, database architecture, sql server integration services; General: ",Intermediate,"Intermediate Database Management professional with experience in postgresql, database development, database architecture, sql server integration services.",$821-$1521
"Writing & Content Creation: academic writing, content seo, white paper; General: ",Intermediate,"Intermediate Writing & Content Creation professional with experience in academic writing, content seo, white paper.",$611-$1661
"Data Science: report writing, recommendation system, tableau, data wrangling; General: project management",Expert,"Expert Data Science professional with experience in report writing, recommendation system, tableau, data wrangling.",$2725-$5718
"Graphic & Visual Design: concept artistry, graphic design, logo design; General: project management, sql",Intermediate,"Intermediate Graphic & Visual Design professional with experience in concept artistry, graphic design, logo design.",$893-$2633
"DevOps: kubernetes, devops engineering; General: git, api",Intermediate,"Intermediate DevOps professional with experience in kubernetes, devops engineering.",$590-$2692
"Marketing & SEO: content marketing, ecommerce marketing, social media optimization; General: ",Expert,"Expert Marketing & SEO professional with experience in content marketing, ecommerce marketing, social media optimization.",$4560-$6578
"UI/UX Design: user experience design, visual communication; General: git, sql",Entry Level,"Entry Level UI/UX Design professional with experience in user experience design, visual communication.",$156-$766
"DevOps: docker, deployment automation, azure app service; General: agile",Intermediate,"Intermediate DevOps professional with experience in docker, deployment automation, azure app service.",$897-$1623
"DevOps: infrastructure management, serverless computing, azure blockchain service; General: git, sql",Intermediate,"Intermediate DevOps professional with experience in infrastructure management, serverless computing, azure blockchain service.",$755-$2976
"Mobile Development: ux wireframe, hybrid app development, ionic framework; General: agile",Intermediate,"Intermediate Mobile Development professional with experience in ux wireframe, hybrid app development, ionic framework.",$1484-$2315
"UI/UX Design: prototyping, design enhancement, user interface design; General: api, project management",Entry Level,"Entry Level UI/UX Design professional with experience in prototyping, design enhancement, user interface design.",$290-$983
"Mobile Development: iphone ui design, react native; General: ",Entry Level,"Entry Level Mobile Development professional with experience in iphone ui design, react native.",$271-$1000
"Project Management: kanban methodology, requirements specification; General: ",Expert,"Expert Project Management professional with experience in kanban methodology, requirements specification.",$1752-$7819
"DevOps: serverless computing, gitlab; General: sql",Intermediate,"Intermediate DevOps professional with experience in serverless computing, gitlab.",$1276-$1771
"Business & Consulting: partnership development, business presentation; General: project management",Intermediate,"Intermediate Business & Consulting professional with experience in partnership development, business presentation.",$945-$2972
"DevOps: azure blockchain service, infrastructure management, cloud architecture, azure cosmos db; General: project management, git",Entry Level,"Entry Level DevOps professional with experience in azure blockchain service, infrastructure management, cloud architecture, azure cosmos db.",$126-$564
"Data Science: report writing, big data, artificial neural network, visualization; General: project management",Entry Level,"Entry Level Data Science professional with experience in report writing, big data, artificial neural network, visualization.",$371-$583
"Project Management: resource allocation, lean startup; General: agile, sql",Expert,"Expert Project Management professional with experience in resource allocation, lean startup.",$2848-$8775
"Marketing & SEO: facebook pixel setup & optimization, linkedin marketing, market research; General: git",Entry Level,"Entry Level Marketing & SEO professional with experience in facebook pixel setup & optimization, linkedin marketing, market research.",$56-$515
"Graphic & Visual Design: visual presentation design, branding, adobe illustrator, photo restoration; General: git",Expert,"Expert Graphic & Visual Design professional with experience in visual presentation design, branding, adobe illustrator, photo restoration.",$3320-$8236
"Cybersecurity: penetration testing, security policies & procedures documentation, personal information protection & electronic documents act, firewall; General: api, sql",Entry Level,"Entry Level Cybersecurity professional with experience in penetration testing, security policies & procedures documentation, personal information protection & electronic documents act, firewall.",$195-$597
"Data Science: data cleansing, time series analysis, exploratory data analysis, bigquery; General: ",Intermediate,"Intermediate Data Science professional with experience in data cleansing, time series analysis, exploratory data analysis, bigquery.",$1415-$2311
"Education & Training: coaching, teaching spanish, academic researcher, life coaching; General: ",Entry Level,"Entry Level Education & Training professional with experience in coaching, teaching spanish, academic researcher, life coaching.",$297-$532
"Cybersecurity: personal information protection & electronic documents act, security infrastructure, cyber threat intelligence; General: ",Entry Level,"Entry Level Cybersecurity professional with experience in personal information protection & electronic documents act, security infrastructure, cyber threat intelligence.",$417-$505
"Cybersecurity: personal information protection & electronic documents act, vpn, security testing; General: project management",Expert,"Expert Cybersecurity professional with experience in personal information protection & electronic documents act, vpn, security testing.",$2375-$7518
"Project Management: requirements specification, project portfolio management; General: agile",Intermediate,"Intermediate Project Management professional with experience in requirements specification, project portfolio management.",$827-$2284
"Database Management: database development, sql programming; General: project management",Expert,"Expert Database Management professional with experience in database development, sql programming.",$4074-$7752
"Writing & Content Creation: journalism writing, white paper; General: agile",Expert,"Expert Writing & Content Creation professional with experience in journalism writing, white paper.",$3657-$6632
"Business & Consulting: business process reengineering, organizational behavior, sales development; General: ",Expert,"Expert Business & Consulting professional with experience in business process reengineering, organizational behavior, sales development.",$2529-$8545
"DevOps: azure openai, aws cloudfront; General: api, sql",Entry Level,"Entry Level DevOps professional with experience in azure openai, aws cloudfront.",$107-$760
"Translation & Languages: korean, french to spanish translation, malay, english to chinese translation; General: agile",Intermediate,"Intermediate Translation & Languages professional with experience in korean, french to spanish translation, malay, english to chinese translation.",$1423-$1939
"Writing & Content Creation: editorial writing, content guidelines, social media content; General: ",Intermediate,"Intermediate Writing & Content Creation professional with experience in editorial writing, content guidelines, social media content.",$1030-$2719
"DevOps: azure devops, ci/cd, azure openai, devops; General: git",Intermediate,"Intermediate DevOps professional with experience in azure devops, ci/cd, azure openai, devops.",$1232-$2807
"UI/UX Design: ux & ui, figma, user experience strategy; General: git",Entry Level,"Entry Level UI/UX Design professional with experience in ux & ui, figma, user experience strategy.",$248-$865
"DevOps: docker, devops engineering; General: api",Expert,"Expert DevOps professional with experience in docker, devops engineering.",$4136-$7503
"Graphic & Visual Design: image enhancement, package graphics; General: project management",Entry Level,"Entry Level Graphic & Visual Design professional with experience in image enhancement, package graphics.",$384-$742
"Mobile Development: ios, mobile app design, react native; General: sql, project management",Intermediate,"Intermediate Mobile Development professional with experience in ios, mobile app design, react native.",$998-$2950
"Business & Consulting: business services, outreach strategy, management consulting; General: api, sql",Intermediate,"Intermediate Business & Consulting professional with experience in business services, outreach strategy, management consulting.",$1479-$2807
"Marketing & SEO: market research, seo strategy, seo keyword research, facebook pixel setup & optimization; General: ",Expert,"Expert Marketing & SEO professional with experience in market research, seo strategy, seo keyword research, facebook pixel setup & optimization.",$3068-$6013
"Marketing & SEO: social media marketing, technical seo, b2b marketing; General: agile",Entry Level,"Entry Level Marketing & SEO professional with experience in social media marketing, technical seo, b2b marketing.",$438-$603
"Translation & Languages: spanish, french, english to portuguese translation; General: ",Expert,"Expert Translation & Languages professional with experience in spanish, french, english to portuguese translation.",$2637-$6806
"Translation & Languages: english to vietnamese translation, yoruba, english to polish translation, bulgarian to english translation; General: sql",Expert,"Expert Translation & Languages professional with experience in english to vietnamese translation, yoruba, english to polish translation, bulgarian to english translation.",$4320-$9815
"Translation & Languages: english to romanian translation, german; General: api, git",Expert,"Expert Translation & Languages professional with experience in english to romanian translation, german.",$4296-$5151
"DevOps: aws cloudformation, aws cloudfront, azure devops server, serverless computing; General: api, git",Expert,"Expert DevOps professional with experience in aws cloudformation, aws cloudfront, azure devops server, serverless computing.",$1699-$6922
"Data Science: bayesian statistics, recommendation system, analytics; General: ",Entry Level,"Entry Level Data Science professional with experience in bayesian statistics, recommendation system, analytics.",$146-$690
"Cybersecurity: information security consultation, security infrastructure; General: ",Intermediate,"Intermediate Cybersecurity professional with experience in information security consultation, security infrastructure.",$1450-$2868
"Marketing & SEO: search engine optimization, google search console; General: ",Entry Level,"Entry Level Marketing & SEO professional with experience in search engine optimization, google search console.",$214-$925
"Business & Consulting: business development, implementation plan; General: git",Intermediate,"Intermediate Business & Consulting professional with experience in business development, implementation plan.",$1161-$1664
"Translation & Languages: english to danish translation, danish, english to ukrainian translation, hebrew; General: agile, git",Entry Level,"Entry Level Translation & Languages professional with experience in english to danish translation, danish, english to ukrainian translation, hebrew.",$88-$930
"DevOps: aws cloudformation, aws cloudfront; General: sql",Intermediate,"Intermediate DevOps professional with experience in aws cloudformation, aws cloudfront.",$520-$2200
"Cybersecurity: network security, ethical hacking; General: sql",Entry Level,"Entry Level Cybersecurity professional with experience in network security, ethical hacking.",$314-$633
"Cybersecurity: cyber threat intelligence, penetration testing, security infrastructure, personal information protection & electronic documents act; General: agile, api",Intermediate,"Intermediate Cybersecurity professional with experience in cyber threat intelligence, penetration testing, security infrastructure, personal information protection & electronic documents act.",$1112-$2582
"Marketing & SEO: facebook advertising, on-page seo; General: ",Entry Level,"Entry Level Marketing & SEO professional with experience in facebook advertising, on-page seo.",$289-$961
"Cybersecurity: personal information protection & electronic documents act, ethical hacking, information security consultation, security assessment & testing; General: sql",Entry Level,"Entry Level Cybersecurity professional with experience in personal information protection & electronic documents act, ethical hacking, information security consultation, security assessment & testing.",$355-$792
"Marketing & SEO: conversion rate optimization, facebook advertising; General: api",Intermediate,"Intermediate Marketing & SEO professional with experience in conversion rate optimization, facebook advertising.",$975-$1873
"Translation & Languages: urdu, english to spanish translation, korean to english translation, english to ukrainian translation; General: ",Intermediate,"Intermediate Translation & Languages professional with experience in urdu, english to spanish translation, korean to english translation, english to ukrainian translation.",$815-$2331
"Graphic & Visual Design: illustration, 2d design, freestyle drawing; General: ",Expert,"Expert Graphic & Visual Design professional with experience in illustration, 2d design, freestyle drawing.",$1657-$9401
"Graphic & Visual Design: typography, 3d texturing, logo design; General: git",Entry Level,"Entry Level Graphic & Visual Design professional with experience in typography, 3d texturing, logo design.",$421-$558
"Project Management: scrum, lean consulting, project portfolio management; General: agile",Expert,"Expert Project Management professional with experience in scrum, lean consulting, project portfolio management.",$4622-$5212
"DevOps: ansible, cloud architecture; General: ",Expert,"Expert DevOps professional with experience in ansible, cloud architecture.",$4143-$8900
"Database Management: database development, postgresql, mongodb; General: api",Entry Level,"Entry Level Database Management professional with experience in database development, postgresql, mongodb.",$262-$788
"UI/UX Design: ui/ux prototyping, user experience strategy, user interface design; General: agile",Expert,"Expert UI/UX Design professional with experience in ui/ux prototyping, user experience strategy, user interface design.",$3328-$6096
"Writing & Content Creation: content planning, speech writing, copywriting, content marketing strategy; General: git",Expert,"Expert Writing & Content Creation professional with experience in content planning, speech writing, copywriting, content marketing strategy.",$2086-$7266
"Database Management: mysql, mongodb, sql; General: ",Expert,"Expert Database Management professional with experience in mysql, mongodb, sql.",$2019-$9243
"Mobile Development: mobile app redesign, ionic framework; General: ",Entry Level,"Entry Level Mobile Development professional with experience in mobile app redesign, ionic framework.",$495-$952
"Business & Consulting: brand consulting, outreach strategy, relationship management, business modeling; General: api",Entry Level,"Entry Level Business & Consulting professional with experience in brand consulting, outreach strategy, relationship management, business modeling.",$486-$942
"Web Development: gatsby.js, web hosting, web application, website; General: ",Expert,"Expert Web Development professional with experience in gatsby.js, web hosting, web application, website.",$1907-$9486
"Mobile Development: android app development, flutter; General: git",Intermediate,"Intermediate Mobile Development professional with experience in android app development, flutter.",$812-$2691
"Mobile Development: ios, android sdk; General: ",Entry Level,"Entry Level Mobile Development professional with experience in ios, android sdk.",$131-$556
"Business & Consulting: business services, business plan; General: ",Entry Level,"Entry Level Business & Consulting professional with experience in business services, business plan.",$116-$762
"Marketing & SEO: market research, youtube marketing, community management; General: ",Entry Level,"Entry Level Marketing & SEO professional with experience in market research, youtube marketing, community management.",$320-$538
"Business & Consulting: business operations, organizational behavior; General: api",Expert,"Expert Business & Consulting professional with experience in business operations, organizational behavior.",$3434-$7818
"Data Science: business intelligence, pandas, python; General: git",Entry Level,"Entry Level Data Science professional with experience in business intelligence, pandas, python.",$474-$730
"Writing & Content Creation: journalism writing, blog content, content strategy; General: ",Expert,"Expert Writing & Content Creation professional with experience in journalism writing, blog content, content strategy.",$1862-$5756
"Translation & Languages: english to dutch translation, romanian, ukrainian, indonesian to english translation; General: project management",Expert,"Expert Translation & Languages professional with experience in english to dutch translation, romanian, ukrainian, indonesian to english translation.",$1864-$7003
"Data Science: snowflake, tableau, data analytics; General: ",Expert,"Expert Data Science professional with experience in snowflake, tableau, data analytics.",$4901-$6711
"DevOps: devops, aws cloudfront, microsoft azure, azure blockchain service; General: ",Entry Level,"Entry Level DevOps professional with experience in devops, aws cloudfront, microsoft azure, azure blockchain service.",$464-$994
"Education & Training: program evaluation, instructional design, program curriculum, workshop facilitation; General: project management, git",Intermediate,"Intermediate Education & Training professional with experience in program evaluation, instructional design, program curriculum, workshop facilitation.",$1119-$1944
"Cybersecurity: security policies & procedures documentation, security assessment & testing; General: git",Intermediate,"Intermediate Cybersecurity professional with experience in security policies & procedures documentation, security assessment & testing.",$649-$1769
"Data Science: data cleansing, business intelligence, analytics, exploratory data analysis; General: ",Entry Level,"Entry Level Data Science professional with experience in data cleansing, business intelligence, analytics, exploratory data analysis.",$236-$742
"DevOps: azure openai, ansible; General: ",Intermediate,"Intermediate DevOps professional with experience in azure openai, ansible.",$1128-$1847
"Data Science: looker, artificial neural network, data segmentation, model tuning; General: api, sql",Entry Level,"Entry Level Data Science professional with experience in looker, artificial neural network, data segmentation, model tuning.",$425-$556
"Graphic & Visual Design: image tracing, adobe dreamweaver, freestyle drawing, adobe after effects; General: project management, git",Expert,"Expert Graphic & Visual Design professional with experience in image tracing, adobe dreamweaver, freestyle drawing, adobe after effects.",$2412-$5178
"Writing & Content Creation: content analysis, book writing, white paper, technical writing; General: sql",Expert,"Expert Writing & Content Creation professional with experience in content analysis, book writing, white paper, technical writing.",$4964-$7810
"Web Development: react, jinja2, cms development; General: ",Expert,"Expert Web Development professional with experience in react, jinja2, cms development.",$3126-$8676
"Database Management: sql server integration services, sql programming, oracle database, database design; General: ",Entry Level,"Entry Level Database Management professional with experience in sql server integration services, sql programming, oracle database, database design.",$428-$724
"Project Management: scrum, project objectives; General: project management",Expert,"Expert Project Management professional with experience in scrum, project objectives.",$3258-$7119
"Graphic & Visual Design: package graphics, photo manipulation, image tracing, 3d design; General: sql",Intermediate,"Intermediate Graphic & Visual Design professional with experience in package graphics, photo manipulation, image tracing, 3d design.",$1336-$2571
"Mobile Development: hybrid app development, flutter, mobile app design, ux wireframe; General: ",Expert,"Expert Mobile Development professional with experience in hybrid app development, flutter, mobile app design, ux wireframe.",$1506-$8590
"Mobile Development: kotlin, flutter, android; General: ",Entry Level,"Entry Level Mobile Development professional with experience in kotlin, flutter, android.",$246-$551
"Data Science: looker, gradient boosting, deep learning, data wrangling; General: project management, agile",Intermediate,"Intermediate Data Science professional with experience in looker, gradient boosting, deep learning, data wrangling.",$1358-$1953
"Marketing & SEO: seo keyword research, campaign optimization, social media account setup; General: sql, project management",Intermediate,"Intermediate Marketing & SEO professional with experience in seo keyword research, campaign optimization, social media account setup.",$1116-$2208
"Project Management: team management, project management, project planning, project finance; General: sql",Expert,"Expert Project Management professional with experience in team management, project management, project planning, project finance.",$1640-$5753
"DevOps: ansible, kubernetes, devops engineering, azure devops; General: git, agile",Intermediate,"Intermediate DevOps professional with experience in ansible, kubernetes, devops engineering, azure devops.",$1458-$2176
"Data Science: time series analysis, data science, tableau, data mining; General: agile, api",Entry Level,"Entry Level Data Science professional with experience in time series analysis, data science, tableau, data mining.",$100-$724
"Education & Training: program management, distance education, academic content development, teaching english; General: git, agile",Entry Level,"Entry Level Education & Training professional with experience in program management, distance education, academic content development, teaching english.",$80-$767
"Graphic & Visual Design: photo manipulation, color palette, graphic design; General: ",Expert,"Expert Graphic & Visual Design professional with experience in photo manipulation, color palette, graphic design.",$4404-$6395
"Mobile Development: ux wireframe, mobile app improvement, mobile app development; General: agile, sql",Intermediate,"Intermediate Mobile Development professional with experience in ux wireframe, mobile app improvement, mobile app development.",$674-$2525
"Database Management: database programming, sql server integration services; General: agile, git",Expert,"Expert Database Management professional with experience in database programming, sql server integration services.",$1888-$5205
"Translation & Languages: french, english to urdu translation, english to indonesian translation, finnish to english translation; General: sql",Intermediate,"Intermediate Translation & Languages professional with experience in french, english to urdu translation, english to indonesian translation, finnish to english translation.",$833-$2905
"Mobile Development: swift, iphone ui design, ios development, hybrid app development; General: git",Entry Level,"Entry Level Mobile Development professional with experience in swift, iphone ui design, ios development, hybrid app development.",$69-$843
"Translation & Languages: bulgarian to english translation, english to czech translation; General: ",Intermediate,"Intermediate Translation & Languages professional with experience in bulgarian to english translation, english to czech translation.",$996-$1775
"Web Development: web hosting, javascript, react; General: agile",Expert,"Expert Web Development professional with experience in web hosting, javascript, react.",$3598-$5961
"Translation & Languages: english to indonesian translation, polish; General: agile, api",Expert,"Expert Translation & Languages professional with experience in english to indonesian translation, polish.",$3702-$6198
"Project Management: scrum master, requirements specification, change management, project management; General: sql, project management",Intermediate,"Intermediate Project Management professional with experience in scrum master, requirements specification, change management, project management.",$562-$2209
"UI/UX Design: wireframing, design enhancement, usability testing; General: ",Intermediate,"Intermediate UI/UX Design professional with experience in wireframing, design enhancement, usability testing.",$676-$2469
"Mobile Development: mobile app improvement, flutter, mobile app design, hybrid app development; General: api",Expert,"Expert Mobile Development professional with experience in mobile app improvement, flutter, mobile app design, hybrid app development.",$2687-$7850
"Database Management: database management, postgresql; General: ",Entry Level,"Entry Level Database Management professional with experience in database management, postgresql.",$305-$864
"Translation & Languages: english to swedish translation, english to czech translation, urdu; General: project management",Expert,"Expert Translation & Languages professional with experience in english to swedish translation, english to czech translation, urdu.",$1623-$5674
"Marketing & SEO: search engine optimization, google adsense; General: project management",Entry Level,"Entry Level Marketing & SEO professional with experience in search engine optimization, google adsense.",$75-$650
"Business & Consulting: business process modeling, business presentation, organizational behavior, business planning & strategy; General: ",Intermediate,"Intermediate Business & Consulting professional with experience in business process modeling, business presentation, organizational behavior, business planning & strategy.",$591-$2574
"DevOps: gitlab, cloud implementation, aws cloudformation; General: ",Expert,"Expert DevOps professional with experience in gitlab, cloud implementation, aws cloudformation.",$1717-$8089
"Marketing & SEO: linkedin marketing, social media strategy, analytics & tracking setup; General: ",Expert,"Expert Marketing & SEO professional with experience in linkedin marketing, social media strategy, analytics & tracking setup.",$4336-$5726
"Marketing & SEO: social media marketing, seo strategy, google tag manager, twitter marketing; General: ",Expert,"Expert Marketing & SEO professional with experience in social media marketing, seo strategy, google tag manager, twitter marketing.",$2704-$5590
"Data Science: analytics, data mining, python; General: ",Intermediate,"Intermediate Data Science professional with experience in analytics, data mining, python.",$906-$2157
"Translation & Languages: english to norwegian translation, bulgarian; General: api",Entry Level,"Entry Level Translation & Languages professional with experience in english to norwegian translation, bulgarian.",$326-$968
"Database Management: database management, microsoft sql server administration, mysql; General: ",Entry Level,"Entry Level Database Management professional with experience in database management, microsoft sql server administration, mysql.",$488-$923
"DevOps: cloud architecture, azure openai; General: git",Entry Level,"Entry Level DevOps professional with experience in cloud architecture, azure openai.",$69-$880
"DevOps: cloud computing, azure blockchain service, devops engineering; General: api",Expert,"Expert DevOps professional with experience in cloud computing, azure blockchain service, devops engineering.",$3212-$7428
"Graphic & Visual Design: motion graphics, 2d design, vector graphic, visual communication; General: sql",Intermediate,"Intermediate Graphic & Visual Design professional with experience in motion graphics, 2d design, vector graphic, visual communication.",$746-$2734
"Writing & Content Creation: blog content, content planning; General: git, project management",Expert,"Expert Writing & Content Creation professional with experience in blog content, content planning.",$3946-$6737
"Database Management: data warehousing, sql programming; General: ",Intermediate,"Intermediate Database Management professional with experience in data warehousing, sql programming.",$1027-$2315
"Mobile Development: mobile app improvement, react native, ionic framework; General: agile, git",Expert,"Expert Mobile Development professional with experience in mobile app improvement, react native, ionic framework.",$4967-$9509
"UI/UX Design: visual communication, user interface design, mobile ui design, responsive design; General: api, git",Entry Level,"Entry Level UI/UX Design professional with experience in visual communication, user interface design, mobile ui design, responsive design.",$154-$578
"UI/UX Design: ux & ui, ux copy, user research; General: git, sql",Expert,"Expert UI/UX Design professional with experience in ux & ui, ux copy, user research.",$2765-$9637
"Web Development: database, cms development, node.js; General: git, agile",Expert,"Expert Web Development professional with experience in database, cms development, node.js.",$1801-$6465
"Web Development: css, laravel, javascript, web application; General: project management, sql",Expert,"Expert Web Development professional with experience in css, laravel, javascript, web application.",$1502-$7036
"Cybersecurity: security policies & procedures documentation, web application security, network security, information security; General: agile, api",Intermediate,"Intermediate Cybersecurity professional with experience in security policies & procedures documentation, web application security, network security, information security.",$1304-$2187
"Database Management: oracle database, database development, mongodb; General: ",Expert,"Expert Database Management professional with experience in oracle database, database development, mongodb.",$1740-$9578
"Database Management: database management, oracle database administration; General: ",Expert,"Expert Database Management professional with experience in database management, oracle database administration.",$3040-$7359
"Project Management: agile project management, digital project management; General: ",Intermediate,"Intermediate Project Management professional with experience in agile project management, digital project management.",$1237-$2322
"Marketing & SEO: google tag manager, tiktok marketing; General: ",Expert,"Expert Marketing & SEO professional with experience in google tag manager, tiktok marketing.",$3814-$8925
"DevOps: azure machine learning, devops, kubernetes; General: git",Entry Level,"Entry Level DevOps professional with experience in azure machine learning, devops, kubernetes.",$483-$991
"DevOps: aws cloudfront, cloud implementation, ci/cd, azure iot hub; General: ",Expert,"Expert DevOps professional with experience in aws cloudfront, cloud implementation, ci/cd, azure iot hub.",$3360-$6677
"Database Management: nosql database, mysql, database management, database design; General: ",Expert,"Expert Database Management professional with experience in nosql database, mysql, database management, database design.",$3963-$6688
"Graphic & Visual Design: 2d illustration, 3d modeling; General: agile, git",Intermediate,"Intermediate Graphic & Visual Design professional with experience in 2d illustration, 3d modeling.",$1116-$1855
"Business & Consulting: business intelligence software, business services, organizational design & effectiveness; General: agile, api",Intermediate,"Intermediate Business & Consulting professional with experience in business intelligence software, business services, organizational design & effectiveness.",$1080-$1634
"Cybersecurity: security testing, firewall, cyber threat intelligence, penetration testing; General: git",Expert,"Expert Cybersecurity professional with experience in security testing, firewall, cyber threat intelligence, penetration testing.",$2138-$8025
"Web Development: software developer, web development plugin, css, html2text; General: ",Intermediate,"Intermediate Web Development professional with experience in software developer, web development plugin, css, html2text.",$1265-$1964
"Translation & Languages: urdu, ukrainian to english translation, polish; General: api, project management",Entry Level,"Entry Level Translation & Languages professional with experience in urdu, ukrainian to english translation, polish.",$121-$702
"Education & Training: program curriculum, educational technology, program evaluation, executive coaching; General: git",Entry Level,"Entry Level Education & Training professional with experience in program curriculum, educational technology, program evaluation, executive coaching.",$118-$886
"Database Management: database architecture, oracle database, postgresql; General: ",Intermediate,"Intermediate Database Management professional with experience in database architecture, oracle database, postgresql.",$1295-$2109
"Writing & Content Creation: storytelling, blog writing; General: ",Intermediate,"Intermediate Writing & Content Creation professional with experience in storytelling, blog writing.",$1385-$1860
"UI/UX Design: user interface design, ux & ui; General: ",Intermediate,"Intermediate UI/UX Design professional with experience in user interface design, ux & ui.",$1246-$2869
"Mobile Development: android app development, kotlin; General: agile",Intermediate,"Intermediate Mobile Development professional with experience in android app development, kotlin.",$1206-$2828
"Writing & Content Creation: content localization, book writing; General: git, api",Entry Level,"Entry Level Writing & Content Creation professional with experience in content localization, book writing.",$292-$758
"Translation & Languages: thai, english to spanish translation, bulgarian to english translation, albanian; General: project management",Entry Level,"Entry Level Translation & Languages professional with experience in thai, english to spanish translation, bulgarian to english translation, albanian.",$439-$630
"Education & Training: program curriculum, exam preparation, program management; General: ",Entry Level,"Entry Level Education & Training professional with experience in program curriculum, exam preparation, program management.",$99-$988
"Education & Training: learning theory, training design, executive coaching, teaching spanish; General: api",Entry Level,"Entry Level Education & Training professional with experience in learning theory, training design, executive coaching, teaching spanish.",$369-$798
"Web Development: website to mobile app conversion, software developer, react, webgl; General: agile, api",Expert,"Expert Web Development professional with experience in website to mobile app conversion, software developer, react, webgl.",$3895-$8871
"Translation & Languages: indonesian, thai to english translation, chinese to english translation, french; General: agile",Intermediate,"Intermediate Translation & Languages professional with experience in indonesian, thai to english translation, chinese to english translation, french.",$1391-$2061
"Graphic & Visual Design: 3d animation, adobe photoshop; General: agile, sql",Intermediate,"Intermediate Graphic & Visual Design professional with experience in 3d animation, adobe photoshop.",$927-$2593
"Business & Consulting: business process automation, business planning & strategy, business plan; General: sql, git",Entry Level,"Entry Level Business & Consulting professional with experience in business process automation, business planning & strategy, business plan.",$396-$630
"Business & Consulting: price & quote negotiation, organizational development, corporate governance, corporate strategy; General: ",Expert,"Expert Business & Consulting professional with experience in price & quote negotiation, organizational development, corporate governance, corporate strategy.",$2186-$9353
